cell_type,marker
B_cells,PCMTD1
B_cells,IGHM
B_cells,BTLA
B_cells,TTC37
B_cells,CD22
B_cells,CENPM
B_cells,IGLC3
B_cells,NME4
B_cells,LYPLAL1
B_cells,ACP5
B_cells,SMIM14
B_cells,ZNF90
B_cells,MOXD1
B_cells,C11orf24
B_cells,SYK
B_cells,RNGTT
B_cells,SERTAD2
B_cells,SNHG7
B_cells,C15orf65
B_cells,TFEB
B_cells,SNTA1
B_cells,POU2F2
B_cells,SLC7A9
B_cells,ZNF860
B_cells,CLPTM1L
B_cells,MEF2C
B_cells,RRAGC
B_cells,JADE3
B_cells,OAS1
B_cells,EZR
B_cells,EFHC1
B_cells,RGMB
B_cells,SNRNP70
B_cells,EGLN1
B_cells,EEF1B2
B_cells,BCL11A
B_cells,BACH2
B_cells,IGLV3-1
B_cells,CAV1
B_cells,PARP14
B_cells,CCDC81
B_cells,AIDA
B_cells,CD37
B_cells,WBP1
B_cells,NEK6
B_cells,SOWAHD
B_cells,SMARCB1
B_cells,GAPT
B_cells,RNASET2
B_cells,CYFIP2
B_cells,ERN2
B_cells,ALPL
B_cells,GTF2H5
B_cells,DUSP22
B_cells,GNG7
B_cells,IGLV4-69
B_cells,AQP7
B_cells,PARP1
B_cells,ANKHD1
B_cells,STX7
B_cells,TCOF1
B_cells,PFN2
B_cells,CUL4B
B_cells,BCL2L11
B_cells,MYC
B_cells,BTLA
B_cells,SESTD1
B_cells,DAPP1
B_cells,RNF25
B_cells,IGKV3-20
B_cells,ADAM28
B_cells,PDLIM1
B_cells,CD40
B_cells,RABEP1
B_cells,SLC25A32
B_cells,RPL22
B_cells,SAC3D1
B_cells,CXXC5
B_cells,SNX29
B_cells,E2F5
B_cells,RCSD1
B_cells,HHEX
B_cells,NBEAL1
B_cells,TRAM2
B_cells,AVP
B_cells,C15orf57
B_cells,CFI
B_cells,RIC3
B_cells,BAK1
B_cells,ATF7IP2
B_cells,HOXB6
B_cells,OXCT1
B_cells,NEK9
B_cells,ATG101
B_cells,1-Mar
B_cells,SGSM3
B_cells,USO1
B_cells,JUP
B_cells,LSM7
B_cells,SLC35B2
B_cells,FAM65B
B_cells,IGHG1
B_cells,PGM3
B_cells,IGLV6-57
B_cells,CBX7
B_cells,IGLC7
B_cells,IGKV3D-11
B_cells,AKAP12
B_cells,CD52
B_cells,NGLY1
B_cells,HLA-DMB
B_cells,DPY30
B_cells,IL6
B_cells,EHMT1
B_cells,IL7
B_cells,CHAC2
B_cells,PXK
B_cells,IGHE
B_cells,MYBL2
B_cells,IL12A
B_cells,ABHD10
B_cells,IGLV7-43
B_cells,HMGB3
B_cells,IGLC7
B_cells,FCGR2B
B_cells,LRMP
B_cells,CCS
B_cells,COL19A1
B_cells,CDCA7L
B_cells,RAPGEF5
B_cells,ATP2A3
B_cells,ITM2C
B_cells,DDX3X
B_cells,FCMR
B_cells,ZBP1
B_cells,CD55
B_cells,NT5DC2
B_cells,NFKB2
B_cells,PIM3
B_cells,WFS1
B_cells,PLEKHG7
B_cells,IGKC
B_cells,MPZL1
B_cells,IGKV1-12
B_cells,ORAI2
B_cells,LHPP
B_cells,MEF2C
B_cells,COA5
B_cells,CLDN10
B_cells,NT5E
B_cells,ACSM2A
B_cells,EBF1
B_cells,MSL3
B_cells,EIF1AY
B_cells,WDFY4
B_cells,RAD17
B_cells,TSPAN13
B_cells,PDLIM1
B_cells,PNISR
B_cells,SCIMP
B_cells,CD79B
B_cells,SORD
B_cells,HDAC9
B_cells,MRPS25
B_cells,VOPP1
B_cells,CDCA7L
B_cells,ISG20
B_cells,MGAT5
B_cells,HHEX
B_cells,GMDS
B_cells,TFEB
B_cells,CIITA
B_cells,PAX5
B_cells,AMT
B_cells,SP110
B_cells,VAV3-AS1
B_cells,TLR10
B_cells,HLA-DOB
B_cells,HLA-DOB
B_cells,CBFA2T3
B_cells,SYNGR2
B_cells,CTGF
B_cells,MFN1
B_cells,MED22
B_cells,IGFBP4
B_cells,SLC35F2
B_cells,CCNB1
B_cells,REPS2
B_cells,IGHD
B_cells,LY9
B_cells,NCOA3
B_cells,IGHG4
B_cells,LRRC16A
B_cells,NR4A1
B_cells,RPL17
B_cells,KIF12
B_cells,PTPRK
B_cells,CHPT1
B_cells,NPM1
B_cells,AMN1
B_cells,CTXN3
B_cells,EAF2
B_cells,PRDM2
B_cells,LAPTM5
B_cells,BLNK
B_cells,BLNK
B_cells,STEAP1B
B_cells,RPS13
B_cells,VPREB3
B_cells,P2RX5
B_cells,EIF4B
B_cells,BHLHE41
B_cells,ATP2B1
B_cells,FCRL1
B_cells,SNHG7
B_cells,PAWR
B_cells,SOBP
B_cells,TLE1
B_cells,NAPSA
B_cells,RALGPS2
B_cells,PLP2
B_cells,BACH2
B_cells,SP110
B_cells,COCH
B_cells,SCAF4
B_cells,ZNF254
B_cells,RUVBL1
B_cells,CD19
B_cells,PTGES2
B_cells,HVCN1
B_cells,TNFRSF17
B_cells,ACSM3
B_cells,IGHA1
B_cells,RAB3GAP1
B_cells,GPR18
B_cells,STAP1
B_cells,STAP1
B_cells,IGHG2
B_cells,BIRC3
B_cells,SC5D
B_cells,IGHM
B_cells,IGHGP
B_cells,KDM5D
B_cells,IGLC5
B_cells,IGLC6
B_cells,IGLL1
B_cells,C12orf42
B_cells,MTHFD2L
B_cells,QRSL1
B_cells,TIMM9
B_cells,IFI27L1
B_cells,MED31
B_cells,MCEE
B_cells,SDHB
B_cells,SWAP70
B_cells,LRRC4C
B_cells,CYFIP2
B_cells,LDHD
B_cells,STRBP
B_cells,STRBP
B_cells,PRCC
B_cells,CPNE5
B_cells,IL13RA1
B_cells,TSPAN13
B_cells,EEF2
B_cells,RPS11
B_cells,AFF4
B_cells,SUCLA2
B_cells,ST6GAL1
B_cells,CACNB4
B_cells,DHTKD1
B_cells,GLO1
B_cells,SMIM14
B_cells,C1orf186
B_cells,LGMN
B_cells,SCARNA2
B_cells,SPATC1L
B_cells,DRAM2
B_cells,ATRX
B_cells,SEL1L3
B_cells,C1orf132
B_cells,RAB30
B_cells,CCSER1
B_cells,CEP295
B_cells,CYB561A3
B_cells,ANKRD13A
B_cells,FCHSD2
B_cells,IGKV1-5
B_cells,KCNN4
B_cells,NAA50
B_cells,NKX6-2
B_cells,PLPP5
B_cells,XPNPEP2
B_cells,SNX2
B_cells,SHISA8
B_cells,LRWD1
B_cells,PTPRK
B_cells,AP1B1
B_cells,NDUFAF6
B_cells,ABCB9
B_cells,PYCR1
B_cells,KIAA0125
